USER_ID,ITEM_ID,EVENT_TYPE,TIMESTAMP
0oqEblDJ4SlxK4svHcsWq6aT,2,click,922246349
0oqEblDJ4SlxK4svHcsWq6aT,7,click,683512761
0oqEblDJ4SlxK4svHcsWq6aT,12,click,783443044
0oqEblDJ4SlxK4svHcsWq6aT,3,click,691996302
0oqEblDJ4SlxK4svHcsWq6aT,8,click,327498227
0oqEblDJ4SlxK4svHcsWq6aT,13,click,66958890
0oqEblDJ4SlxK4svHcsWq6aT,17,click,818668534
0oqEblDJ4SlxK4svHcsWq6aT,22,click,981307665
0oqEblDJ4SlxK4svHcsWq6aT,18,click,739518455
0oqEblDJ4SlxK4svHcsWq6aT,23,click,129391577
0oqEblDJ4SlxK4svHcsWq6aT,1,click,592257225
0oqEblDJ4SlxK4svHcsWq6aT,28,click,664608852
0oqEblDJ4SlxK4svHcsWq6aT,27,click,351332083
0oqEblDJ4SlxK4svHcsWq6aT,32,click,55347593
0oqEblDJ4SlxK4svHcsWq6aT,33,click,443648964
0oqEblDJ4SlxK4svHcsWq6aT,6,click,230265334
0oqEblDJ4SlxK4svHcsWq6aT,11,click,499365043
0oqEblDJ4SlxK4svHcsWq6aT,37,click,880993676
0oqEblDJ4SlxK4svHcsWq6aT,16,click,150855624
0oqEblDJ4SlxK4svHcsWq6aT,42,click,76960674
0oqEblDJ4SlxK4svHcsWq6aT,47,click,111161683
0oqEblDJ4SlxK4svHcsWq6aT,21,click,567044768
0oqEblDJ4SlxK4svHcsWq6aT,5,click,191149447
0oqEblDJ4SlxK4svHcsWq6aT,52,click,427259543
0oqEblDJ4SlxK4svHcsWq6aT,57,click,696932931
0oqEblDJ4SlxK4svHcsWq6aT,38,click,231476733
0oqEblDJ4SlxK4svHcsWq6aT,43,click,361837536
0oqEblDJ4SlxK4svHcsWq6aT,26,click,876368522
0oqEblDJ4SlxK4svHcsWq6aT,48,click,322447561
0oqEblDJ4SlxK4svHcsWq6aT,62,click,208028501
oF2snNkmvevOAuAbJcAPCNGF,6,click,476068897
oF2snNkmvevOAuAbJcAPCNGF,86,click,697756758
oF2snNkmvevOAuAbJcAPCNGF,31,click,431910921
oF2snNkmvevOAuAbJcAPCNGF,111,click,242330821
oF2snNkmvevOAuAbJcAPCNGF,73,click,980283429
oF2snNkmvevOAuAbJcAPCNGF,11,click,42903750
oF2snNkmvevOAuAbJcAPCNGF,101,click,535339250
oF2snNkmvevOAuAbJcAPCNGF,71,click,932647139
oF2snNkmvevOAuAbJcAPCNGF,61,click,977760370
oF2snNkmvevOAuAbJcAPCNGF,81,click,725187339
oF2snNkmvevOAuAbJcAPCNGF,36,click,689803915
oF2snNkmvevOAuAbJcAPCNGF,96,click,237161262
oF2snNkmvevOAuAbJcAPCNGF,87,click,393276456
oF2snNkmvevOAuAbJcAPCNGF,32,click,973544602
oF2snNkmvevOAuAbJcAPCNGF,46,click,367287443
oF2snNkmvevOAuAbJcAPCNGF,27,click,658043593
oF2snNkmvevOAuAbJcAPCNGF,26,click,20716964
oF2snNkmvevOAuAbJcAPCNGF,22,click,34008339
oF2snNkmvevOAuAbJcAPCNGF,102,click,982096472
oF2snNkmvevOAuAbJcAPCNGF,91,click,593151347
oF2snNkmvevOAuAbJcAPCNGF,106,click,857885944
oF2snNkmvevOAuAbJcAPCNGF,51,click,429568431
oF2snNkmvevOAuAbJcAPCNGF,12,click,249027244
oF2snNkmvevOAuAbJcAPCNGF,56,click,443920466
oF2snNkmvevOAuAbJcAPCNGF,16,click,700265750
oF2snNkmvevOAuAbJcAPCNGF,1,click,864143954
oF2snNkmvevOAuAbJcAPCNGF,7,click,967869856
oF2snNkmvevOAuAbJcAPCNGF,41,click,854449922
oF2snNkmvevOAuAbJcAPCNGF,66,click,330163102
oF2snNkmvevOAuAbJcAPCNGF,57,click,305239472
oF2snNkmvevOAuAbJcAPCNGF,21,click,334226533
oF2snNkmvevOAuAbJcAPCNGF,76,click,948490247
oF2snNkmvevOAuAbJcAPCNGF,107,click,715868256
jduE1xbxEyGsuwaFmlhcb5o6,55,click,550639758
jduE1xbxEyGsuwaFmlhcb5o6,50,click,756004859
jduE1xbxEyGsuwaFmlhcb5o6,25,click,506799771
jduE1xbxEyGsuwaFmlhcb5o6,60,click,387122057
